family,level,altitude_m,horizontal_distance_m,range_std_m,aoa_std_deg,attitude_std_deg,position_covariance_scale,visual_available,vision_only_rank,pixel_u,pixel_v,peb_rf_m,peb_joint_m,zeb_rf_m,zeb_joint_m,gain_peb,gain_zeb
rf_quality,paired_log_level_3,60.0,160.0,4.0,2.0,0.2,1.0,1,2,320.0,94.54545454545453,9.143507243386875,4.238905806998454,5.789417480519657,1.647677762634935,0.5364026413317187,0.7153983508394285
pose_quality,attitude_log_level_0,60.0,160.0,1.0,1.0,0.05,1.0,1,2,320.0,94.54545454545453,4.225814566163604,1.495041481848738,2.8250644475195545,0.7454808669358837,0.6462122370868705,0.7361189874480825
pose_quality,attitude_log_level_1,60.0,160.0,1.0,1.0,0.0889139705,1.0,1,2,320.0,94.54545454545453,4.237177621257216,1.5268642634271532,2.8325154631361245,0.7732376343878806,0.6396506354212934,0.7270137994121445
pose_quality,attitude_log_level_2,60.0,160.0,1.0,1.0,0.158113883,1.0,1,2,320.0,94.54545454545453,4.272911892041874,1.6233965387424123,2.8559497135655856,0.8551031263794209,0.620072545430688,0.7005888716045197
pose_quality,attitude_log_level_3,60.0,160.0,1.0,1.0,0.2811706626,1.0,1,2,320.0,94.54545454545453,4.383997091939589,1.8965945236087658,2.9288215939430566,1.0736612684993618,0.5673823490677397,0.6334152716164942
pose_quality,attitude_log_level_4,60.0,160.0,1.0,1.0,0.5,1.0,1,2,320.0,94.54545454545453,4.718098020728011,2.576448955063064,3.148181237541376,1.5766412701486856,0.4539221220619081,0.4991898016074864
position_sensitivity,position_covariance_x4,60.0,160.0,1.0,1.0,0.2,4.0,1,2,320.0,94.54545454545453,4.345643899002009,1.8061730763637696,2.8971402892566678,0.9839585590677675,0.5843715871936577,0.6603690326227778
reference,nominal,60.0,180.0,1.0,1.0,0.2,1.0,1,2,320.0,80.0,4.778402419469982,1.8055414715479319,3.22558344755378,0.9880977464514686,0.6221453713920977,0.6936685215194719
rf_quality,paired_log_level_0,60.0,180.0,0.5,0.25,0.2,1.0,1,2,320.0,80.0,1.5967271647259902,1.3690645961776167,1.0376099706111441,0.8440544195210802,0.14258075742541904,0.18653979488657116
rf_quality,paired_log_level_1,60.0,180.0,1.0,0.5,0.2,1.0,1,2,320.0,80.0,2.6844470654752044,1.7428885214017802,1.7326815276662684,0.956795724219008,0.35074580392470817,0.4477948146029428
rf_quality,paired_log_level_2,60.0,180.0,2.0,1.0,0.2,1.0,1,2,320.0,80.0,5.082630193354282,2.5019952049273537,3.271756191578604,1.129750926772123,0.5077361307539547,0.6546958695516292
rf_quality,paired_log_level_3,60.0,180.0,4.0,2.0,0.2,1.0,1,2,320.0,80.0,10.017016732671918,4.281756956906121,6.443073938765641,1.579732227017996,0.5725516816857693,0.7548169954230511
pose_quality,attitude_log_level_0,60.0,180.0,1.0,1.0,0.05,1.0,1,2,320.0,80.0,4.691552264333466,1.5612536539766235,3.167692916318133,0.7786057998124727,0.6672202362860317,0.7542041415057806
pose_quality,attitude_log_level_1,60.0,180.0,1.0,1.0,0.0889139705,1.0,1,2,320.0,80.0,4.704170786490581,1.5987723764045636,3.176103032785083,0.8121447249574069,0.6601372592602479,0.7442952207236023
pose_quality,attitude_log_level_2,60.0,180.0,1.0,1.0,0.158113883,1.0,1,2,320.0,80.0,4.7438531668853905,1.7120143667771703,3.2025528116005075,0.9101060874974162,0.6391089043969703,0.7158185544354594
pose_quality,attitude_log_level_3,60.0,180.0,1.0,1.0,0.2811706626,1.0,1,2,320.0,80.0,4.8672111382342695,2.0289392763793157,3.284793013101853,1.1669677451979075,0.5831413064370625,0.6447362921976226
pose_quality,attitude_log_level_4,60.0,180.0,1.0,1.0,0.5,1.0,1,2,320.0,80.0,5.238219646938416,2.804602537375752,3.532280495849911,1.7461254481769724,0.46458859566628535,0.5056662543564981
position_sensitivity,position_covariance_x4,60.0,180.0,1.0,1.0,0.2,4.0,1,2,320.0,80.0,4.81592459268172,1.90262450459345,3.2441314056512773,1.0470611999985822,0.6049305864371965,0.6772445166140306
reference,nominal,60.0,200.0,1.0,1.0,0.2,1.0,1,2,320.0,67.69230769230768,5.258186175325562,1.9110809078932716,3.5769614857398895,1.0599583953326448,0.6365513041624193,0.703670727359427
